"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2023","1,592.45","1,584.95","1,603.00","1,582.50","2.42M","0.55%"
"02/17/2023","1,583.80","1,594.00","1,595.00","1,575.50","2.86M","-1.12%"
"02/16/2023","1,601.80","1,600.00","1,614.45","1,597.85","4.29M","0.30%"
"02/15/2023","1,597.05","1,584.00","1,599.00","1,576.00","3.47M","0.24%"
"02/14/2023","1,593.25","1,584.70","1,596.00","1,578.15","5.04M","1.65%"
"02/13/2023","1,567.45","1,597.00","1,597.00","1,566.00","4.00M","-2.56%"
"02/10/2023","1,608.55","1,612.95","1,616.30","1,596.45","4.79M","-0.52%"
"02/09/2023","1,617.00","1,596.20","1,619.75","1,586.05","6.90M","1.67%"
"02/08/2023","1,590.50","1,565.50","1,603.00","1,565.50","7.98M","1.80%"
"02/07/2023","1,562.40","1,569.00","1,576.05","1,555.10","4.34M","-0.47%"
"02/06/2023","1,569.85","1,598.00","1,598.00","1,561.60","4.57M","-1.85%"
"02/03/2023","1,599.40","1,597.50","1,604.65","1,573.00","7.04M","0.99%"
"02/02/2023","1,583.75","1,552.00","1,586.95","1,552.00","6.92M","2.10%"
"02/01/2023","1,551.10","1,542.20","1,555.05","1,528.05","6.19M","1.13%"
"01/31/2023","1,533.75","1,548.90","1,548.90","1,513.00","9.45M","-0.33%"
"01/30/2023","1,538.80","1,528.80","1,544.00","1,520.00","6.96M","1.29%"
"01/27/2023","1,519.15","1,546.00","1,550.95","1,507.40","6.21M","-1.55%"
"01/25/2023","1,543.00","1,547.00","1,556.00","1,538.75","4.16M","-0.57%"
"01/24/2023","1,551.90","1,560.00","1,568.80","1,549.75","5.20M","0.25%"
"01/23/2023","1,548.00","1,535.00","1,553.30","1,528.10","4.86M","1.47%"
"01/20/2023","1,525.55","1,538.00","1,545.00","1,524.00","6.50M","-0.87%"
"01/19/2023","1,538.90","1,539.90","1,549.55","1,526.15","6.17M","-0.42%"
"01/18/2023","1,545.40","1,544.75","1,551.85","1,539.60","5.84M","0.38%"
"01/17/2023","1,539.50","1,527.00","1,542.20","1,524.00","5.92M","0.92%"
"01/16/2023","1,525.50","1,510.00","1,528.00","1,502.30","6.07M","1.45%"
"01/13/2023","1,503.65","1,483.50","1,519.40","1,468.00","11.61M","1.56%"
"01/12/2023","1,480.60","1,481.95","1,485.00","1,455.00","6.59M","0.64%"
"01/11/2023","1,471.25","1,470.00","1,494.00","1,464.00","6.17M","0.10%"
"01/10/2023","1,469.75","1,482.00","1,483.90","1,454.05","7.16M","-0.99%"
